title,author,category,UK Key Stage,segments,char_count,word_count,sentence_count,avg_word_length,avg_sentence_length,type_token_ratio,pronoun_freq,function_words_count,punctuation_frequency,sentiment_polarity,sentiment_subjectivity,readability grades_Kincaid,readability grades_ARI,readability grades_Coleman-Liau,readability grades_FleschReadingEase,readability grades_GunningFogIndex,readability grades_LIX,readability grades_SMOGIndex,readability grades_RIX,readability grades_DaleChallIndex,sentence info_characters_per_word,sentence info_syll_per_word,sentence info_words_per_sentence,sentence info_sentences_per_paragraph,sentence info_type_token_ratio,sentence info_characters,sentence info_syllables,sentence info_words,sentence info_wordtypes,sentence info_sentences,sentence info_paragraphs,sentence info_long_words,sentence info_complex_words,sentence info_complex_words_dc,word usage_tobeverb,word usage_auxverb,word usage_conjunction,word usage_pronoun,word usage_preposition,word usage_nominalization,sentence beginnings_pronoun,sentence beginnings_interrogative,sentence beginnings_article,sentence beginnings_subordination,sentence beginnings_conjunction,sentence beginnings_preposition,NER_PERSON,NER_NORP,NER_FAC,NER_ORG,NER_GPE,NER_LOC,NER_PRODUCT,NER_EVENT,NER_WORK_OF_ART,NER_LAW,NER_LANGUAGE,EMOT_fear,EMOT_anger,EMOT_trust,EMOT_surprise,EMOT_positive,EMOT_negative,EMOT_sadness,EMOT_disgust,EMOT_joy,EMOT_anticipation
Le Morte d'Arthur: Volume 2,Sir Thomas Malory,Fantasy,Key Stage 5 (KS5),"Wherefore I liken love nowadays unto summer and winter; for like as the  one is hot and the other cold, so fareth love nowadays; therefore all  ye that be lovers call unto your remembrance the month of May, like as  did Queen Guenever, for whom I make here a little mention, that while  she lived she was a true lover, and therefore she had a good end. _Explicit liber Octodecimus. And here followeth liber xix._          BOOK XIX. CHAPTER I.",442.0,90.0,4.0,3.9,22.5,0.6888888888888889,0.0666666666666666,36.0,0.0316742081447963,0.1734375,0.6468750000000001,30.2125,38.528625,8.745223612499998,20.942500000000024,35.0,95.0,16.41640786499874,12.0,12.3415,4.2375,1.2375,80.0,1.0,0.75,339.0,99.0,80.0,60.0,1.0,1.0,12.0,6.0,24.0,3.0,1.0,4.0,10.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.1666666666666666,0.0555555555555555,0.2777777777777778,0.0555555555555555,0.0,0.0,0.2777777777777778,0.1111111111111111
The Woman in White,Wilkie Collins,,Key Stage 2 (KS2),"I seriously advise you to write, by my hands,  offering the hospitality of your house (and heart), and the hospitality  of my house (and heart), to that injured and unfortunate lady whose  cause I plead to-day."" He waved his horrid hand at me—he struck his infectious breast—he  addressed me oratorically, as if I was laid up in the House of Commons. It was high time to take a desperate course of some sort. It was also  high time to send for Louis, and adopt the precaution of fumigating the  room.",500.0,105.0,4.0,3.8666666666666663,26.25,0.6476190476190476,0.0571428571428571,45.0,0.032,-0.2226666666666666,0.7493333333333333,35.80956521739131,44.43391304347826,8.675227608695653,2.1876086956521874,42.01739130434783,106.13043478260867,21.97366596101028,13.0,11.975569565217391,4.217391304347826,1.315217391304348,92.0,1.0,0.6847826086956522,388.0,121.0,92.0,63.0,1.0,1.0,13.0,12.0,22.0,3.0,0.0,5.0,17.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304347826086956,0.0434782608695652,0.0869565217391304,0.0,0.1739130434782608,0.217391304347826,0.1739130434782608,0.0869565217391304,0.0,0.0869565217391304
The White Company,Arthur Conan Doyle,,Key Stage 5 (KS5),"Wolves or watch-dogs, it was hard to say from which the sheep had most  to fear. The Castle of Villefranche was harsh and stern as its master. A broad  moat, a high outer wall turreted at the corners, with a great black keep  towering above all--so it lay before them in the moonlight. By the light  of two flambeaux, protruded through the narrow slit-shaped openings at  either side of the ponderous gate, they caught a glimpse of the glitter  of fierce eyes and of the gleam of the weapons of the guard.",505.0,103.0,4.0,3.961165048543689,25.75,0.7087378640776699,0.0194174757281553,50.0,0.0257425742574257,0.1064166666666666,0.49775,34.2704347826087,44.9970652173913,9.378253271739132,13.222391304347852,39.84347826086957,109.3913043478261,17.491376746189438,16.0,11.803939130434784,4.336956521739131,1.184782608695652,92.0,1.0,0.75,399.0,109.0,92.0,69.0,1.0,1.0,16.0,7.0,21.0,2.0,0.0,3.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0909090909090909,0.1363636363636363,0.0,0.1363636363636363,0.2272727272727272,0.0454545454545454,0.0909090909090909,0.0454545454545454,0.0454545454545454
Sense and Sensibility,Jane Austen,,Key Stage 3 (KS3),"And the lock of hair—that too I had always carried about me  in the same pocket-book, which was now searched by Madam with the most  ingratiating virulence,—the dear lock,—all, every memento was torn from  me."" ""You are very wrong, Mr. Willoughby, very blamable,"" said Elinor, while  her voice, in spite of herself, betrayed her compassionate emotion;  ""you ought not to speak in this way, either of Mrs. Willoughby or my  sister. You had made your own choice. It was not forced on you.",486.0,105.0,4.0,3.8285714285714287,26.25,0.6952380952380952,0.0857142857142857,48.0,0.0473251028806584,0.1333333333333333,0.5208333333333334,33.04302325581395,41.998255813953485,9.35730231395349,11.335697674418626,38.12093023255815,101.11627906976744,18.491933384829668,13.0,11.206983720930232,4.337209302325581,1.2790697674418603,86.0,1.0,0.7906976744186046,373.0,110.0,86.0,68.0,1.0,1.0,13.0,8.0,18.0,4.0,1.0,2.0,15.0,11.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.1538461538461538,0.0,0.0,0.3076923076923077,0.3846153846153846,0.0,0.0,0.0,0.0
Our Mutual Friend,Charles Dickens,,Key Stage 4 (KS4),"I am sure there ought to be no third party present at  anything so very kind and so very serious; and so, if you'll remove the  third party upstairs, my dear, the third party will retire.' Lizzie took the hand which the dolls' dressmaker held out to her for  the purpose of being supported away, but only looked at her with an  inquiring smile, and made no other movement.",372.0,80.0,2.0,3.75,40.0,0.7125,0.05,39.0,0.0295698924731182,0.1209166666666666,0.4230555555555556,26.712857142857143,33.01557142857143,8.051905414285716,28.222142857142885,31.42857142857143,82.85714285714286,16.41640786499874,9.0,9.364214285714286,4.128571428571429,1.2714285714285714,70.0,1.0,0.7571428571428571,289.0,89.0,70.0,53.0,1.0,1.0,9.0,6.0,10.0,2.0,2.0,4.0,5.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0555555555555555,0.1666666666666666,0.1111111111111111,0.2777777777777778,0.0555555555555555,0.0555555555555555,0.0,0.1666666666666666,0.0555555555555555
The Red and the Black: A Chronicle of 1830,Stendhal,,Key Stage 4 (KS4),"Anyway, what  does it matter so long as it comes back to me at the necessary moment?"" This thermometer idea amused him and finally managed to distract him. When he woke up the next day he was ashamed of the previous day. ""My  happiness and peace of mind are at stake."" He almost made up his mind  to write to the Procureur-General to request that no one should be  admitted to see him. ""And how about Fouqué,"" he thought? ""If he takes  it upon himself to come to Besançon, his grief will be immense.""",500.0,111.0,7.0,3.684684684684685,15.857142857142858,0.6666666666666666,0.081081081081081,54.0,0.036,-0.0351851851851851,0.4407407407407407,36.25936170212766,44.860957446808506,7.9668061595744675,2.52500000000002,41.42978723404256,109.95744680851064,19.431676725154983,15.0,11.15453829787234,4.095744680851064,1.2872340425531914,94.0,1.0,0.7340425531914894,385.0,121.0,94.0,69.0,1.0,1.0,15.0,9.0,17.0,4.0,2.0,3.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.2,0.12,0.08,0.08,0.16,0.2
The Murder on the Links,Agatha Christie,Detective Fiction,Key Stage 2 (KS2),"And a few minutes later saw us creaking and jolting along,  in the most ramshackle of automobiles that ever plied for hire, in the  direction of Merlinville. My spirits were at their highest. ""What gorgeous air!"" I exclaimed. ""This promises to be a delightful  trip."" ""For you, yes. For me, I have work to do, remember, at our journey's  end."" ""Bah!"" I said cheerfully. ""You will discover all, ensure this Mr.  Renauld's safety, run the would-be assassins to earth, and all will  finish in a blaze of glory.""",508.0,119.0,10.0,3.571428571428572,11.9,0.6470588235294118,0.0588235294117647,46.0,0.0649606299212598,0.4291666666666666,0.5833333333333334,35.11222222222223,43.61366666666667,8.892481033333336,3.625000000000029,41.333333333333336,112.22222222222224,21.97366596101028,20.0,12.135722222222222,4.255555555555556,1.3222222222222222,90.0,1.0,0.8,383.0,119.0,90.0,72.0,1.0,1.0,20.0,12.0,23.0,3.0,3.0,3.0,13.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.03125,0.09375,0.09375,0.21875,0.09375,0.0,0.0,0.21875,0.1875
Uncle Tom's Cabin,Harriet Beecher Stowe,,Key Stage 4 (KS4),"Children do not usually generalize; but Eva was  an uncommonly mature child, and the things that she had witnessed of  the evils of the system under which they were living had fallen, one by  one, into the depths of her thoughtful, pondering heart. She had vague  longings to do something for them,—to bless and save not only them, but  all in their condition,—longings that contrasted sadly with the  feebleness of her little frame.",433.0,85.0,2.0,4.176470588235294,42.5,0.7176470588235294,0.0823529411764705,43.0,0.023094688221709,-0.0803571428571428,0.55,29.708,37.6104,10.695217506666667,15.654000000000025,34.800000000000004,92.33333333333331,19.431676725154983,13.0,11.567166666666669,4.573333333333333,1.36,75.0,1.0,0.7466666666666667,343.0,102.0,75.0,56.0,1.0,1.0,13.0,9.0,20.0,2.0,0.0,4.0,10.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.0,0.2352941176470588,0.1764705882352941,0.0588235294117647,0.0,0.1764705882352941,0.1176470588235294
"Sybil, Or, The Two Nations",Earl of Beaconsfield Benjamin Disraeli,,Key Stage 4 (KS4),"He  looked around him: the glimmering lamp scarcely indicated the outline of  the obscure chamber. It was lofty, nor in the obscurity was it possible  for the eye to reach the ceiling, which several huge beams seemed to  cross transversally, looming in the darkness. There was apparently no  windows, and the door by which they had entered was not easily to  be recognised.",373.0,71.0,3.0,4.295774647887324,23.666666666666668,0.7323943661971831,0.0422535211267605,34.0,0.0214477211796246,0.0263888888888888,0.513888888888889,25.64984126984127,32.27428571428572,11.448854206349209,23.37571428571429,31.54920634920635,89.98412698412699,20.32050807568877,17.0,11.022093650793652,4.714285714285714,1.4126984126984128,63.0,1.0,0.7777777777777778,297.0,89.0,63.0,49.0,1.0,1.0,17.0,10.0,17.0,5.0,0.0,2.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.4166666666666667,0.25,0.0,0.0,0.0
North and South,Elizabeth Cleghorn Gaskell,,Key Stage 3 (KS3),"""When some beloved voice that was to you      Both sound and sweetness, faileth suddenly,      And silence, against which you dare not cry,      Aches round you like a strong disease and new,—      What hope? what help? what music will undo      That silence to your sense?"" MRS. BROWNING. The shock had been great. Margaret fell into a state of prostration,  which did not show itself in sobs and tears, or even find the relief of  words.",439.0,90.0,6.0,3.7888888888888888,15.0,0.7666666666666667,0.0333333333333333,38.0,0.0364464692482915,0.3555555555555556,0.6305555555555555,27.46189189189189,36.06486486486487,9.38466548648649,29.97635135135137,31.221621621621622,88.86486486486487,12.486832980505138,11.0,10.294197297297298,4.351351351351352,1.2027027027027026,74.0,1.0,0.8513513513513513,322.0,89.0,74.0,63.0,1.0,1.0,11.0,3.0,14.0,2.0,1.0,5.0,7.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129032258,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.1612903225806451,0.1935483870967742,0.1290322580645161,0.032258064516129,0.064516129032258,0.064516129032258
